HOUSEID,HHFAMINC,HHSIZE,HHVEHCNT,URBRUR,MSASIZE,TRAVDAY,TRPMILES,VEHAGE,VEHOWNED,VEHFUEL,DRIVINGOCCUPATION,LIF_CYC,LAST30_PT,LAST30_BIKE,LAST30_ESCT,LAST30_RDSHR,LAST30_TAXI,LAST30_WALK,BIKETRANSIT,DRIVER,TRPTRANS,CONDNONE,CONDTRAV,COV1_PT,COV2_PT
9000013002,11,4,2,1,5,1,3.902423866,7,1,1,-1,4,2,2,2,2,2,1,-1,1,3,-1,-1,3,1
9000013002,11,4,2,1,5,1,17.0770665,7,1,1,-1,4,2,2,2,2,2,1,-1,1,3,-1,-1,3,1
9000013002,11,4,2,1,5,1,4.748290864,7,1,1,-1,4,2,2,2,2,2,1,-1,1,3,-1,-1,3,1
9000013002,11,4,2,1,5,1,14.09881914,7,1,1,-1,4,2,2,2,2,2,1,-1,1,3,-1,-1,3,1
9000013016,7,2,1,1,3,4,0.911746426,11,1,1,1,2,2,2,2,2,2,1,-1,1,1,2,1,3,3
9000013016,7,2,1,1,3,4,4.59850839,11,1,1,1,2,2,2,2,2,2,1,-1,1,1,2,1,3,3
9000013016,7,2,1,1,3,4,5.423244251,11,1,1,1,2,2,2,2,2,2,1,-1,1,1,2,1,3,3
9000013039,7,4,1,1,4,5,0.635177129,7,1,1,2,6,2,2,2,2,2,1,-1,1,1,-1,-1,4,-1
9000013042,11,3,2,1,5,6,10.538844,5,1,1,2,4,1,2,2,2,2,1,-1,1,3,-1,-1,3,2
9000013042,11,3,2,1,5,6,12.53635799,5,1,1,2,4,1,2,2,2,2,1,-1,1,3,-1,-1,3,2
9000013043,6,1,1,1,5,3,2,8,1,1,-1,9,2,2,2,1,2,1,-1,1,20,-1,-1,2,-1
9000013044,7,2,2,1,5,6,0.389683033,13,1,1,2,2,2,2,2,1,2,1,-1,1,20,-1,-1,2,-1
9000013045,6,2,1,1,5,2,6.073958981,11,1,1,2,2,2,2,2,2,2,1,-1,1,1,-1,-1,3,3
9000013045,6,2,1,1,5,2,4.322560597,11,1,1,2,2,2,2,2,2,2,1,-1,1,1,-1,-1,3,3
9000013045,6,2,1,1,5,2,2.137973897,11,1,1,2,2,2,2,2,2,2,1,-1,1,1,-1,-1,3,3
9000013045,6,2,1,1,5,2,3.706028589,11,1,1,2,2,2,2,2,2,2,1,-1,1,1,-1,-1,3,3
9000013068,10,5,2,2,4,1,95.20882536,1,2,1,1,4,2,2,2,2,2,2,-1,1,3,-1,-1,4,-1
9000013068,10,5,2,2,4,1,94.26724674,1,2,1,1,4,2,2,2,2,2,2,-1,1,3,-1,-1,4,-1
9000013081,6,2,3,2,3,5,9.311995028,1,1,1,-1,10,2,2,2,2,2,2,-1,1,3,-1,-1,4,-1
9000013081,6,2,3,2,3,5,2.480422623,1,1,1,-1,10,2,2,2,2,2,2,-1,1,3,-1,-1,4,-1
9000013081,6,2,3,2,3,5,8.615288999,1,1,1,-1,10,2,2,2,2,2,2,-1,1,3,-1,-1,4,-1
9000013081,6,2,3,2,3,5,4.317588564,1,1,1,-1,10,2,2,2,2,2,2,-1,1,4,-1,-1,4,-1
9000013081,6,2,3,2,3,5,4.364201367,1,1,1,-1,10,2,2,2,2,2,2,-1,1,4,-1,-1,4,-1
9000013086,6,2,2,1,4,1,0,8,1,1,-1,10,2,2,2,2,2,2,-1,1,20,-1,-1,4,-1
9000013099,11,2,2,1,4,4,3.704164077,2,1,5,2,2,2,2,2,2,2,1,-1,1,1,-1,-1,3,3
9000013099,11,2,2,1,4,4,3.013051585,2,1,5,2,2,2,2,2,2,2,1,-1,1,1,-1,-1,3,3
9000013122,11,3,2,2,3,7,0.921690491,3,2,1,1,10,2,2,2,2,2,1,-1,1,20,-1,-1,3,1
9000013122,11,3,2,2,3,7,1,3,2,1,1,10,2,2,2,2,2,1,-1,1,20,-1,-1,3,1
9000013145,6,1,1,1,4,7,16.89620883,6,1,1,2,1,2,2,2,2,2,1,-1,1,1,-1,-1,3,3
9000013145,6,1,1,1,4,7,2.77688005,6,1,1,2,1,2,2,2,2,2,1,-1,1,1,-1,-1,3,3
9000013145,6,1,1,1,4,7,17.31075202,6,1,1,2,1,2,2,2,2,2,1,-1,1,1,-1,-1,3,3
9000013158,5,2,2,2,4,4,8.4922312,6,1,1,-1,10,2,2,2,2,2,2,-1,1,3,2,1,4,-1
9000013158,5,2,2,2,4,4,8.447482909,6,1,1,-1,10,2,2,2,2,2,2,-1,1,3,2,1,4,-1
9000013158,5,2,2,2,4,4,6.179614667,6,1,1,-1,10,2,2,2,2,2,2,-1,1,3,2,1,4,-1
9000013158,5,2,2,2,4,4,0.295214419,6,1,1,-1,10,2,2,2,2,2,2,-1,1,3,2,1,4,-1
9000013158,5,2,2,2,4,4,6.28775637,6,1,1,-1,10,2,2,2,2,2,2,-1,1,3,2,1,4,-1
9000013164,5,8,1,1,1,3,4.044126787,12,2,1,-1,2,1,2,2,2,2,1,-1,1,1,-1,-1,2,-1
9000013164,5,8,1,1,1,3,3.008079553,12,2,1,-1,2,1,2,2,2,2,1,-1,1,1,-1,-1,2,-1
9000013164,5,8,1,1,1,3,0.880671224,12,2,1,-1,2,1,2,2,2,2,1,-1,1,1,-1,-1,2,-1
9000013164,5,8,1,1,1,3,4.0615289,12,2,1,-1,2,1,2,2,2,2,1,-1,2,1,-1,-1,2,-1
9000013167,8,4,2,1,5,2,0.807955252,2,1,1,-1,4,2,2,2,2,2,2,-1,1,4,2,1,4,-1
9000013167,8,4,2,1,5,2,0.808576756,2,1,1,-1,4,2,2,2,2,2,2,-1,1,20,2,1,4,-1
9000013167,8,4,2,1,5,2,5.173399627,2,1,1,-1,4,2,2,2,2,2,2,-1,1,3,2,1,4,-1
9000013167,8,4,2,1,5,2,4.746426352,2,1,1,-1,4,2,2,2,2,2,2,-1,1,3,2,1,4,-1
9000013183,7,6,2,1,3,5,2.298943443,9,1,1,2,6,2,1,2,2,2,1,10,1,3,-1,-1,4,-1
9000013183,7,6,2,1,3,5,1.540087011,9,1,1,2,6,2,1,2,2,2,1,10,1,2,-1,-1,4,-1
9000013183,7,6,2,1,3,5,2.147296457,9,1,1,2,6,2,1,2,2,2,1,10,1,2,-1,-1,4,-1
9000013183,7,6,2,1,3,5,2.131137352,9,1,1,2,6,2,1,2,2,2,1,10,1,2,-1,-1,4,-1
9000013183,7,6,2,1,3,5,1.351771287,9,1,1,2,6,2,1,2,2,2,1,10,-1,20,-1,-1,4,-1
9000013183,7,6,2,1,3,5,1.403356122,9,1,1,2,6,2,1,2,2,2,1,10,-1,18,-1,-1,4,-1
9000013237,11,2,2,2,1,7,2.62150404,10,1,1,2,2,1,2,2,2,1,1,-1,1,3,-1,-1,3,2
9000013237,11,2,2,2,1,7,2.628340584,10,1,1,2,2,1,2,2,2,1,1,-1,1,3,-1,-1,3,2
9000013237,11,2,2,2,1,7,40.82722188,10,1,1,2,2,1,2,2,2,1,1,-1,1,1,-1,-1,3,2
9000013237,11,2,2,2,1,7,40.90863891,10,1,1,2,2,1,2,2,2,1,1,-1,1,1,-1,-1,3,2
9000013246,11,1,1,1,1,5,9.259788689,5,1,1,2,1,2,2,2,2,2,1,-1,1,1,-1,-1,2,-1
9000013246,11,1,1,1,1,5,10.47172157,5,1,1,2,1,2,2,2,2,2,1,-1,1,1,-1,-1,2,-1
9000013246,11,1,1,1,1,5,0.881292728,5,1,1,2,1,2,2,2,2,2,1,-1,1,1,-1,-1,2,-1
9000013246,11,1,1,1,1,5,0.746426352,5,1,1,2,1,2,2,2,2,2,1,-1,1,1,-1,-1,2,-1
9000013246,11,1,1,1,1,5,3.745183344,5,1,1,2,1,2,2,2,2,2,1,-1,1,1,-1,-1,2,-1
9000013246,11,1,1,1,1,5,4.295214419,5,1,1,2,1,2,2,2,2,2,1,-1,1,1,-1,-1,2,-1
9000013246,11,1,1,1,1,5,9.254816656,5,1,1,2,1,2,2,2,2,2,1,-1,1,1,-1,-1,2,-1
9000013255,7,2,2,1,1,1,24.01056557,17,1,1,-1,10,2,2,2,2,2,2,-1,1,1,-1,-1,4,-1
9000013255,7,2,2,1,1,1,23.30640149,17,1,1,-1,10,2,2,2,2,2,2,-1,1,1,-1,-1,4,-1
9000013268,6,4,2,1,1,1,6.602858919,16,1,1,2,6,2,2,2,2,2,1,-1,1,1,-1,-1,4,-1
9000013268,6,4,2,1,1,1,6.620261032,16,1,1,2,6,2,2,2,2,2,1,-1,1,1,-1,-1,4,-1
9000013268,6,4,2,1,1,1,0.868862648,16,1,1,2,6,2,2,2,2,2,1,-1,1,3,-1,-1,4,-1
9000013268,6,4,2,1,1,1,22.11995028,16,1,1,2,6,2,2,2,2,2,1,-1,1,3,-1,-1,4,-1
9000013268,6,4,2,1,1,1,11.68303294,16,1,1,2,6,2,2,2,2,2,1,-1,1,3,-1,-1,4,-1
9000013268,6,4,2,1,1,1,1.937228092,16,1,1,2,6,2,2,2,2,2,1,-1,1,3,-1,-1,4,-1
9000013268,6,4,2,1,1,1,1.891858297,16,1,1,2,6,2,2,2,2,2,1,-1,1,3,-1,-1,4,-1
9000013284,11,3,3,1,6,6,3.116221255,4,1,1,2,2,2,2,2,2,2,1,-1,1,4,-1,-1,2,-1
9000013284,11,3,3,1,6,6,3.073958981,4,1,1,2,2,2,2,2,2,2,1,-1,1,4,-1,-1,2,-1
9000013284,11,3,3,1,6,6,3.081417029,4,1,1,2,2,2,2,2,2,2,1,-1,1,2,-1,-1,2,-1
9000013284,11,3,3,1,6,6,2.986948415,4,1,1,2,2,2,2,2,2,2,1,-1,1,2,-1,-1,2,-1
9000013287,7,2,2,2,6,3,185.7750155,9,1,1,-1,10,2,2,2,2,2,1,-1,1,1,-1,-1,4,-1
9000013287,7,2,2,2,6,3,1.27532629,9,1,1,-1,10,2,2,2,2,2,1,-1,1,1,-1,-1,4,-1
9000013287,7,2,2,2,6,3,3.607830951,9,1,1,-1,10,2,2,2,2,2,1,-1,1,1,-1,-1,4,-1
9000013293,6,2,2,2,1,1,1.687383468,7,1,1,2,10,2,2,2,2,2,2,-1,1,3,-1,-1,4,-1
9000013293,6,2,2,2,1,1,17.12430081,7,1,1,2,10,2,2,2,2,2,2,-1,1,3,-1,-1,4,-1
9000013293,6,2,2,2,1,1,11.88315724,7,1,1,2,10,2,2,2,2,2,2,-1,1,3,-1,-1,4,-1
9000013293,6,2,2,2,1,1,21.97078931,7,1,1,2,10,2,2,2,2,2,2,-1,1,3,-1,-1,4,-1
9000013313,2,1,1,1,4,6,1.535736482,9,1,6,-1,9,2,2,2,2,2,1,-1,1,1,-1,-1,3,1
9000013356,7,2,2,1,5,1,0.819763828,9,1,1,-1,10,2,2,2,2,2,1,-1,1,1,-1,-1,3,1
9000013356,7,2,2,1,5,1,0.733996271,9,1,1,-1,10,2,2,2,2,2,1,-1,1,1,-1,-1,3,1
9000013356,7,2,2,1,5,1,2.079552517,9,1,1,-1,10,2,2,2,2,2,1,-1,1,1,-1,-1,3,1
9000013356,7,2,2,1,5,1,2.102548167,9,1,1,-1,10,2,2,2,2,2,1,-1,1,1,-1,-1,3,1
9000013360,9,4,4,1,5,6,18.08763207,4,1,1,1,8,2,2,2,2,2,2,-1,1,4,-1,-1,4,-1
